x,y,step
14,2,0
13,2,1
12,2,2
11,2,3
10,2,4
9,2,5
8,2,6
7,2,7
6,2,8
5,2,9
4,3,10
3,4,11
2,5,12
1,6,13
1,7,14
1,8,15
1,9,16
1,10,17
1,11,18
2,12,19
