x,y,step
14,2,0
13,2,1
12,2,2
12,3,3
11,3,4
10,3,5
9,3,6
8,3,7
7,3,8
6,3,9
5,3,10
4,3,11
3,3,12
3,4,13
2,4,14
1,4,15
1,5,16
1,6,17
1,7,18
1,8,19
1,9,20
1,10,21
1,11,22
1,12,23
1,13,24
1,14,25
2,14,26
3,14,27
3,13,28
3,12,29
2,12,30
